# Source: http://pantherdb.org/panther/summaryStats.jsp
Organism	Common Name	Short Name
Anolis carolinensis	lizard	ANOCA
Anopheles gambiae	mosquito	ANOGA
Aquifex aeolicus	aquifex	AQUAE
Arabidopsis thaliana	arabidopsis	ARATH
Ashbya gossypii	ashbya	ASHGO
Bacillus cereus	bacillus_cereus	BACCR
Bacillus subtilis	bacillus_subtilis	BACSU
Bacteroides thetaiotaomicron	bacteroidetes	BACTN
Batrachochytrium dendrobatidis	chytrid	BATDJ
Bos taurus	cow	BOVIN
Brachypodium distachyon	purple_false_brome	BRADI
Bradyrhizobium diazoefficiens	bradyrhizobium	BRADU
Branchiostoma floridae	branchiostoma	BRAFL
Caenorhabditis briggsae	c_briggsae	CAEBR
Caenorhabditis elegans	nematode_worm	CAEEL
Candida albicans	candida	CANAL
Canis lupus familiaris	dog	CANLF
Chlamydia trachomatis	chlamydia	CHLTR
Chlamydomonas reinhardtii	green_algae	CHLRE
Chloroflexus aurantiacus	chloroflexus	CHLAA
Ciona intestinalis	ciona	CIOIN
Clostridium botulinum	clostridium	CLOBH
Coxiella burnetii	coxiella	COXBU
Cryptococcus neoformans	cryptococcus	CRYNJ
Danio rerio	zebrafish	DANRE
Daphnia pulex	water_flea	DAPPU
Deinococcus radiodurans	deinococcus	DEIRA
Dictyoglomus turgidum	dictyoglomus	DICTD
Dictyostelium discoideum	dictyostelium	DICDI
Dictyostelium purpureum	d_purpureum	DICPU
Drosophila melanogaster	fruit_fly	DROME
Emericella nidulans	aspergillus	EMENI
Entamoeba histolytica	entamoeba	ENTHI
Equus caballus	horse	HORSE
Escherichia coli	e_coli	ECOLI
Felis catus	cat	FELCA
Fusobacterium nucleatum	fusobacterium	FUSNN
Gallus gallus	chicken	CHICK
Geobacter sulfurreducens	geobacter	GEOSL
Giardia intestinalis	giardia	GIAIC
Gloeobacter violaceus	gloeobacter	GLOVI
Glycine max	soybean	SOYBN
Haemophilus influenzae	h_flu	HAEIN
Halobacterium salinarum	halobacterium	HALSA
Homo sapiens	human	HUMAN
Ixodes scapularis	tick	IXOSC
Korarchaeum cryptofilum	korarchaeum	KORCO
Leishmania major	leishmania	LEIMA
Leptospira interrogans	leptospira	LEPIN
Macaca mulatta	macacque	MACMU
Methanocaldococcus jannaschii	methanocaldococcus	METJA
Methanosarcina acetivorans	methanosarcina	METAC
Monodelphis domestica	opossum	MONDO
Monosiga brevicollis	monosiga	MONBE
Mus musculus	mouse	MOUSE
Mycobacterium tuberculosis	mycobacterium	MYCTU
Nematostella vectensis	nematostella	NEMVE
Neurospora crassa	neurospora	NEUCR
Ornithorhynchus anatinus	platypus	ORNAN
Oryza sativa	rice	ORYSJ
Pan troglodytes	chimpanzee	PANTR
Phaeosphaeria nodorum	phaeosphaeria	PHANO
Physcomitrella patens	moss	PHYPA
Phytophthora infestans	phytophthora	PHYIT
Plasmodium falciparum	plasmodium	PLAF7
Populus trichocarpa	black_cottonwood	POPTR
Pristionchus pacificus	pristionchus	PRIPA
Pseudomonas aeruginosa	pseudomonas	PSEAE
Puccinia graminis	puccinia	PUCGT
Pyrobaculum aerophilum	pyrobaculum	PYRAE
Rattus norvegicus	rat	RAT
Rhodopirellula baltica	rhodopirellula	RHOBA
Saccharomyces cerevisiae	budding_yeast	YEAST
Salmonella typhimurium	salmonella	SALTY
Schistosoma mansoni	schistosoma	SCHMA
Schizosaccharomyces pombe	fission_yeast	SCHPO
Sclerotinia sclerotiorum	sclerotinia	SCLS1
Shewanella oneidensis	shewanella	SHEON
Solanum lycopersicum	tomato	SOLLC
Sorghum bicolor	sorghum	SORBI
Staphylococcus aureus	staph	STAA8
Streptococcus pneumoniae	strep	STRR6
Streptomyces coelicolor	streptomyces	STRCO
Strongylocentrotus purpuratus	sea_urchin	STRPU
Sulfolobus solfataricus	sulfolobus	SULSO
Sus scrofa	pig	PIG
Synechocystis	synechocystis	SYNY3
Takifugu rubripes	fugu	TAKRU
Tetrahymena thermophila	tetrahymena	TETTS
Thalassiosira pseudonana	thalassiosira	THAPS
Thermococcus kodakaraensis	thermococcus	THEKO
Thermodesulfovibrio yellowstonii	thermodesulfovibrio	THEYD
Thermotoga maritima	thermotoga	THEMA
Trichomonas vaginalis	trichomonas	TRIVA
Trichoplax adhaerens	trichoplax	TRIAD
Trypanosoma brucei	t_brucei	TRYB2
Ustilago maydis	ustilago	USTMA
Vibrio cholerae	cholera	VIBCH
Vitis vinifera	grape	VITVI
Xanthomonas campestris	xanthomonas	XANCP
Xenopus tropicalis	frog	XENTR
Yarrowia lipolytica	yarrowia	YARLI
Yersinia pestis	yersinia	YERPE
